Date,Company,value,MarketCap,BookMarket,PriceBook
2014-09-30,air-liquide,32.3664608001709,42970.0,0.33444816053511706,2.99
2014-10-31,air-liquide,29.054403553838316,42970.0,0.33444816053511706,2.99
2014-11-30,air-liquide,31.300197696685792,42970.0,0.33444816053511706,2.99
2014-12-31,air-liquide,32.92423402695429,42970.0,0.33444816053511706,2.99
2015-01-31,air-liquide,35.64322444370815,38860.0,0.3597122302158274,2.78
2015-02-28,air-liquide,41.04956207275391,38860.0,0.3597122302158274,2.78
2015-03-31,air-liquide,43.885401639071375,38860.0,0.3597122302158274,2.78
2015-04-30,air-liquide,44.46966819763183,38860.0,0.3597122302158274,2.78
2015-05-31,air-liquide,44.893592071533206,38860.0,0.3597122302158274,2.78
2015-06-30,air-liquide,43.60507947748358,38860.0,0.3597122302158274,2.78
2015-07-31,air-liquide,41.65846169513205,38860.0,0.3597122302158274,2.78
2015-08-31,air-liquide,39.50098582676479,38860.0,0.3597122302158274,2.78
2015-09-30,air-liquide,38.10439890081232,38860.0,0.3597122302158274,2.78
2015-10-31,air-liquide,39.61821261319247,38860.0,0.3597122302158274,2.78
2015-11-30,air-liquide,37.523029145740324,38860.0,0.3597122302158274,2.78
2015-12-31,air-liquide,36.029544467017764,38860.0,0.3597122302158274,2.78
2016-01-31,air-liquide,31.95918893814087,39500.0,0.4566210045662101,2.19
2016-02-29,air-liquide,30.839291163853236,39500.0,0.4566210045662101,2.19
2016-03-31,air-liquide,34.651736849830264,39500.0,0.4566210045662101,2.19
2016-04-30,air-liquide,34.91827101934524,39500.0,0.4566210045662101,2.19
2016-05-31,air-liquide,35.563885775479406,39500.0,0.4566210045662101,2.19
2016-06-30,air-liquide,34.150672999295324,39500.0,0.4566210045662101,2.19
2016-07-31,air-liquide,33.78740001860119,39500.0,0.4566210045662101,2.19
2016-08-31,air-liquide,32.033482427182406,39500.0,0.4566210045662101,2.19
2016-09-30,air-liquide,32.36838826266202,39500.0,0.4566210045662101,2.19
2016-10-31,air-liquide,31.242250624157133,39500.0,0.4566210045662101,2.19
2016-11-30,air-liquide,30.725571719082918,39500.0,0.4566210045662101,2.19
2016-12-31,air-liquide,32.286174320039294,39500.0,0.4566210045662101,2.19
2017-01-31,air-liquide,34.792021144520156,53530.0,0.37453183520599254,2.67
2017-02-28,air-liquide,35.095063018798825,53530.0,0.37453183520599254,2.67
2017-03-31,air-liquide,34.72109089726987,53530.0,0.37453183520599254,2.67
2017-04-30,air-liquide,36.67012956407335,53530.0,0.37453183520599254,2.67
2017-05-31,air-liquide,38.91472833806818,53530.0,0.37453183520599254,2.67
2017-06-30,air-liquide,39.26702031222257,53530.0,0.37453183520599254,2.67
2017-07-31,air-liquide,38.47269058227539,53530.0,0.37453183520599254,2.67
2017-08-31,air-liquide,37.071049399997875,53530.0,0.37453183520599254,2.67
2017-09-30,air-liquide,38.108101072765535,53530.0,0.37453183520599254,2.67
2017-10-31,air-liquide,40.07172983342951,53530.0,0.37453183520599254,2.67
2017-11-30,air-liquide,39.3165529424494,53530.0,0.37453183520599254,2.67
2017-12-31,air-liquide,39.765953264738386,53530.0,0.37453183520599254,2.67
2018-01-31,air-liquide,42.4820161299272,53090.0,0.3921568627450981,2.55
2018-02-28,air-liquide,42.99738082885742,53090.0,0.3921568627450981,2.55
2018-03-31,air-liquide,42.66054952712286,53090.0,0.3921568627450981,2.55
2018-04-30,air-liquide,41.97621726989746,53090.0,0.3921568627450981,2.55
2018-05-31,air-liquide,45.28243203596635,53090.0,0.3921568627450981,2.55
2018-06-30,air-liquide,41.96233386085147,53090.0,0.3921568627450981,2.55
2018-07-31,air-liquide,42.07554210316051,53090.0,0.3921568627450981,2.55
2018-08-31,air-liquide,41.64423901101817,53090.0,0.3921568627450981,2.55
2018-09-30,air-liquide,41.3992317199707,53090.0,0.3921568627450981,2.55
2018-10-31,air-liquide,39.65845489501953,53090.0,0.3921568627450981,2.55
2018-11-30,air-liquide,38.241361444646664,53090.0,0.3921568627450981,2.55
2018-12-31,air-liquide,35.777529867071856,53090.0,0.3921568627450981,2.55
2019-01-31,air-liquide,36.37012499028986,66650.0,0.3246753246753247,3.08
2019-02-28,air-liquide,37.09949264526367,66650.0,0.3246753246753247,3.08
2019-03-31,air-liquide,35.41291100638254,66650.0,0.3246753246753247,3.08
2019-04-30,air-liquide,35.96631298065186,66650.0,0.3246753246753247,3.08
2019-05-31,air-liquide,34.30733888799494,66650.0,0.3246753246753247,3.08
2019-06-30,air-liquide,34.904556846618654,66650.0,0.3246753246753247,3.08
2019-07-31,air-liquide,39.12975958119268,66650.0,0.3246753246753247,3.08
2019-08-31,air-liquide,37.86079163984819,66650.0,0.3246753246753247,3.08
2019-09-30,air-liquide,38.768311273484,66650.0,0.3246753246753247,3.08
2019-10-31,air-liquide,37.55324454929518,66650.0,0.3246753246753247,3.08
2019-11-30,air-liquide,38.671704610188804,66650.0,0.3246753246753247,3.08
2019-12-31,air-liquide,39.974710555303666,66650.0,0.3246753246753247,3.08
2020-01-31,air-liquide,38.95972407947887,77950.0,0.3003003003003003,3.33
2020-02-29,air-liquide,37.02086963653564,77950.0,0.3003003003003003,3.33
2020-03-31,air-liquide,26.59211505543102,77950.0,0.3003003003003003,3.33
2020-04-30,air-liquide,25.460073947906494,77950.0,0.3003003003003003,3.33
2020-05-31,air-liquide,22.625294399261474,77950.0,0.3003003003003003,3.33
2020-06-30,air-liquide,25.701452602039684,77950.0,0.3003003003003003,3.33
2020-07-31,air-liquide,23.351269929305367,77950.0,0.3003003003003003,3.33
2020-08-31,air-liquide,23.871632348923455,77950.0,0.3003003003003003,3.33
2020-09-30,air-liquide,24.449577244845305,77950.0,0.3003003003003003,3.33
2020-10-31,air-liquide,23.318256291476164,77950.0,0.3003003003003003,3.33
2020-11-30,air-liquide,27.667078472319105,77950.0,0.3003003003003003,3.33
2020-12-31,air-liquide,29.66309998252175,77950.0,0.3003003003003003,3.33
2021-01-31,air-liquide,29.080615997314453,82310.0,0.30303030303030304,3.3
2021-02-28,air-liquide,31.134582042694092,82310.0,0.30303030303030304,3.3
2021-03-31,air-liquide,33.43038243832795,82310.0,0.30303030303030304,3.3
2021-04-30,air-liquide,33.28256244659424,82310.0,0.30303030303030304,3.3
2021-05-31,air-liquide,32.09447070530483,82310.0,0.30303030303030304,3.3
2021-06-30,air-liquide,33.38993662053888,82310.0,0.30303030303030304,3.3
2021-07-31,air-liquide,30.15701285275546,82310.0,0.30303030303030304,3.3
2021-08-31,air-liquide,28.547973112626508,82310.0,0.30303030303030304,3.3
2021-09-30,air-liquide,29.063477516174316,82310.0,0.30303030303030304,3.3
2021-10-31,air-liquide,30.58411489214216,82310.0,0.30303030303030304,3.3
2021-11-30,air-liquide,30.165109287608754,82310.0,0.30303030303030304,3.3
2021-12-31,air-liquide,26.949631566586703,82310.0,0.30303030303030304,3.3
2022-01-31,air-liquide,31.06243406023298,73950.0,0.35587188612099646,2.81
2022-02-28,air-liquide,32.200408172607425,73950.0,0.35587188612099646,2.81
2022-03-31,air-liquide,27.583421624225117,73950.0,0.35587188612099646,2.81
2022-04-30,air-liquide,28.915270554391963,73950.0,0.35587188612099646,2.81
2022-05-31,air-liquide,30.08728937669234,73950.0,0.35587188612099646,2.81
2022-06-30,air-liquide,28.21060119975697,73950.0,0.35587188612099646,2.81
2022-07-31,air-liquide,26.64116786775135,73950.0,0.35587188612099646,2.81
2022-08-31,air-liquide,25.293515827344812,73950.0,0.35587188612099646,2.81
2022-09-30,air-liquide,22.95659351348877,73950.0,0.35587188612099646,2.81
2022-10-31,air-liquide,22.13554772876558,73950.0,0.35587188612099646,2.81
2022-11-30,air-liquide,24.32002657110041,73950.0,0.35587188612099646,2.81
2022-12-31,air-liquide,24.32827331906273,73950.0,0.35587188612099646,2.81
2002-01-31,airbus,40.218077618142836,,,
2002-02-28,airbus,41.86313381195068,,,
2002-03-31,airbus,46.9443602789016,,,
2002-04-30,airbus,45.56273009560325,,,
2002-05-31,airbus,43.67567576532779,,,
2002-06-30,airbus,38.40288753509522,,,
2002-07-31,airbus,33.925446717635445,,,
2002-08-31,airbus,31.735739534551445,,,
2002-09-30,airbus,24.423282259986514,,,
2002-10-31,airbus,20.901718471361242,,,
2002-11-30,airbus,27.59662728082566,,,
2002-12-31,airbus,23.92133175243031,,,
2003-01-31,airbus,21.617375166519828,19290.0,,
2003-02-28,airbus,20.171546077728273,19290.0,,
2003-03-31,airbus,20.670892442975724,19290.0,,
2003-04-30,airbus,22.573827830227938,19290.0,,
2003-05-31,airbus,25.260466402227227,19290.0,,
2003-06-30,airbus,26.94340115501767,19290.0,,
2003-07-31,airbus,29.560057847396187,19290.0,,
2003-08-31,airbus,32.079864501953125,19290.0,,
2003-09-30,airbus,33.42574665763161,19290.0,,
2003-10-31,airbus,31.265624253646187,19290.0,,
2003-11-30,airbus,30.785912322998048,19290.0,,
2003-12-31,airbus,28.98395239788553,19290.0,,
2004-01-31,airbus,31.48520027507435,23190.0,,
2004-02-29,airbus,35.557102298736574,23190.0,,
2004-03-31,airbus,34.515430948008664,23190.0,,
2004-04-30,airbus,33.91245339133523,23190.0,,
2004-05-31,airbus,30.491002854846773,23190.0,,
2004-06-30,airbus,30.59238199754195,23190.0,,
2004-07-31,airbus,32.14267297224565,23190.0,,
2004-08-31,airbus,32.97232159701261,23190.0,,
2004-09-30,airbus,35.245271856134586,23190.0,,
2004-10-31,airbus,34.54397510346912,23190.0,,
2004-11-30,airbus,37.78872229836204,23190.0,,
2004-12-31,airbus,37.7090890303902,23190.0,,
2005-01-31,airbus,36.97736322312128,30110.0,,
2005-02-28,airbus,38.64125385284424,30110.0,,
2005-03-31,airbus,37.614198933476985,30110.0,,
2005-04-30,airbus,35.06360371907552,30110.0,,
2005-05-31,airbus,33.757732217962094,30110.0,,
2005-06-30,airbus,34.28761724992232,30110.0,,
2005-07-31,airbus,50.01885023571196,30110.0,,
2005-08-31,airbus,67.9378317128057,30110.0,,
2005-09-30,airbus,69.7425211126154,30110.0,,
2005-10-31,airbus,70.70116533551898,30110.0,,
2005-11-30,airbus,73.64504276622425,30110.0,,
2005-12-31,airbus,87.37100081010298,30110.0,,
2006-01-31,airbus,91.75365898825906,27630.0,,
2006-02-28,airbus,97.45225257873535,27630.0,,
2006-03-31,airbus,98.15539849322775,27630.0,,
2006-04-30,airbus,94.84432644314236,27630.0,,
2006-05-31,airbus,88.38588437167081,27630.0,,
2006-06-30,airbus,84.56072789972478,27630.0,,
2006-07-31,airbus,92.72867620558966,27630.0,,
2006-08-31,airbus,100.17378002664317,27630.0,,
2006-09-30,airbus,113.17211005801246,27630.0,,
2006-10-31,airbus,128.62594708529386,27630.0,,
2006-11-30,airbus,151.96626767245206,27630.0,,
2006-12-31,airbus,155.86921772203948,27630.0,,
2007-01-31,airbus,169.9861172762784,25630.0,,
2007-02-28,airbus,174.68541717529297,25630.0,,
2007-03-31,airbus,166.53032268177378,25630.0,,
2007-04-30,airbus,184.97476597836143,25630.0,,
2007-05-31,airbus,184.8579108498313,25630.0,,
2007-06-30,airbus,177.9159204392206,25630.0,,
2007-07-31,airbus,169.3828215165572,25630.0,,
2007-08-31,airbus,150.3777134107507,25630.0,,
2007-09-30,airbus,134.90683975219727,25630.0,,
2007-10-31,airbus,136.07120878800103,25630.0,,
2007-11-30,airbus,120.37349111383611,25630.0,,
2007-12-31,airbus,120.3116165964227,25630.0,,
2008-01-31,airbus,102.06556424227628,13700.0,,
2008-02-29,airbus,92.67973291306268,13700.0,,
2008-03-31,airbus,84.0439433047646,13700.0,,
2008-04-30,airbus,95.57104249434038,13700.0,,
2008-05-31,airbus,95.09274546305339,13700.0,,
2008-06-30,airbus,81.33690497988746,13700.0,,
2008-07-31,airbus,76.82962235160495,13700.0,,
2008-08-31,airbus,85.09787205287388,13700.0,,
2008-09-30,airbus,84.32693897594105,13700.0,,
2008-10-31,airbus,66.46425827689792,13700.0,,
2008-11-30,airbus,53.64116287231445,13700.0,,
2008-12-31,airbus,48.76514107840402,13700.0,,
2009-01-31,airbus,44.06558118547712,16360.0,0.9345794392523364,1.07
2009-02-28,airbus,38.70969638824463,16360.0,0.9345794392523364,1.07
2009-03-31,airbus,34.91049090298739,16360.0,0.9345794392523364,1.07
2009-04-30,airbus,42.58258266448975,16360.0,0.9345794392523364,1.07
2009-05-31,airbus,52.020693969726565,16360.0,0.9345794392523364,1.07
2009-06-30,airbus,49.39329442110929,16360.0,0.9345794392523364,1.07
2009-07-31,airbus,43.99863782136337,16360.0,0.9345794392523364,1.07
2009-08-31,airbus,51.67762937999907,16360.0,0.9345794392523364,1.07
2009-09-30,airbus,57.84111872586337,16360.0,0.9345794392523364,1.07
2009-10-31,airbus,59.244810277765446,16360.0,0.9345794392523364,1.07
2009-11-30,airbus,55.42181105840774,16360.0,0.9345794392523364,1.07
2009-12-31,airbus,56.32990993152965,16360.0,0.9345794392523364,1.07
2010-01-31,airbus,60.77137908935547,18810.0,0.6329113924050632,1.58
2010-02-28,airbus,54.1031457901001,18810.0,0.6329113924050632,1.58
2010-03-31,airbus,55.43790187006412,18810.0,0.6329113924050632,1.58
2010-04-30,airbus,61.48250942230224,18810.0,0.6329113924050632,1.58
2010-05-31,airbus,51.242929004487536,18810.0,0.6329113924050632,1.58
2010-06-30,airbus,52.54913555492055,18810.0,0.6329113924050632,1.58
2010-07-31,airbus,52.11310403997248,18810.0,0.6329113924050632,1.58
2010-08-31,airbus,55.08967243541371,18810.0,0.6329113924050632,1.58
2010-09-30,airbus,56.59927732294256,18810.0,0.6329113924050632,1.58
2010-10-31,airbus,62.46106429327102,18810.0,0.6329113924050632,1.58
2010-11-30,airbus,68.28982890735973,18810.0,0.6329113924050632,1.58
2010-12-31,airbus,70.4885995047433,18810.0,0.6329113924050632,1.58
2011-01-31,airbus,71.58615548270089,25490.0,0.4504504504504504,2.22
