,infl_e,rate,sp500,corp_debt,deflator,unempl,gdp,rpi,dpi,manufacturing,splong
2003-06-01,2.1,1.2226666666666666,,1440.8585714285714,2.0,6.5,11482.034666666666,12186.558,10860.6,5.083333333333334,987.9952392578125
2003-07-01,1.7,1.011290322580645,,1406.5139130434782,2.3,6.3,11566.669,12197.554,10991.1,4.8,992.5409102006392
2003-08-01,2.5,1.0290322580645161,,1374.831818181818,2.3666666666666667,6.0,11635.190666666667,12216.821,11066.7,4.516666666666667,989.5319097609747
2003-09-01,2.8,1.01,,1400.1004545454546,2.433333333333333,5.8,11703.712333333333,12234.634,10940.8,4.233333333333333,1019.441900344122
2003-10-01,2.6,1.01,,1411.0391304347827,2.5,5.6,11772.234,12281.469,10982.3,3.95,1038.7343431555707
2003-11-01,2.7,0.996,,1418.1704761904762,2.6333333333333333,5.6,11822.638333333334,12352.377,11048.4,3.666666666666667,1049.8989450555098
2003-12-01,2.6,0.9841935483870967,,1432.2381818181818,2.7666666666666666,5.4,11873.042666666666,12356.981,11057.2,3.3833333333333333,1080.6359197443182
2004-01-01,2.7,0.9970967741935484,,1453.8231818181819,2.9,6.3,11923.447,12332.995,11051.2,3.1,1132.5174987792968
2004-02-01,2.6,1.007241379310345,,1462.348095238095,3.033333333333333,6.0,11986.569666666666,12349.224,11071.0,3.2666666666666666,1143.3563232421875
2004-03-01,2.9,1.0016129032258065,,1485.4026086956524,3.1666666666666665,6.0,12049.692333333334,12393.884,11115.6,3.4333333333333336,1123.9782449473505
2004-04-01,3.2,1.004,,1452.0047619047618,3.3,5.4,12112.815,12433.863,11153.3,3.6,1133.0785725911458
2004-05-01,3.3,1.0045161290322582,,1423.6980952380952,3.0666666666666664,5.3,12176.979000000001,12499.431,11208.9,3.7666666666666666,1102.7815002441407
2004-06-01,3.3,1.0256666666666667,,1426.3177272727273,2.8333333333333335,5.8,12241.143,12511.921,11215.8,3.933333333333333,1132.7571556454614
2004-07-01,3.0,1.2635483870967743,,1450.4347826086957,2.6,5.7,12305.307,12556.147,11240.5,4.1,1105.846656436012
2004-08-01,2.8,1.4293548387096775,,1472.2077272727272,2.7666666666666666,5.4,12379.276,12606.222,11274.6,4.266666666666667,1088.9349920099432
2004-09-01,2.8,1.605,,1492.7245454545455,2.9333333333333336,5.1,12453.245,12621.706,11279.6,4.433333333333334,1117.6562034970239
2004-10-01,3.1,1.7609677419354839,,1502.9886363636363,3.1,5.1,12527.214,12628.422,11282.5,4.6,1118.0680977957588
2004-11-01,2.8,1.932,,1503.4550000000002,3.1333333333333333,5.2,12607.238,12595.005,11246.1,4.766666666666667,1168.9376220703125
2004-12-01,3.0,2.1561290322580646,,1511.5477272727273,3.166666666666667,5.1,12687.262,13020.595,11659.0,4.933333333333334,1199.2095447887075
2005-01-01,2.9,2.2793548387096774,,1519.2357142857143,3.2,5.7,12767.286,12665.162,11226.5,5.1,1181.4079956054688
2005-02-01,2.9,2.501785714285714,,1531.408,3.1,5.8,12819.076000000001,12674.095,11229.0,4.741666666666666,1199.6268439041942
2005-03-01,3.2,2.629032258064516,,1508.815,3.0,5.4,12870.866,12716.359,11268.8,4.383333333333333,1194.8977272727273
2005-04-01,3.3,2.7849999999999997,,1514.0686363636364,2.9,4.9,12922.656,12759.492,11304.2,4.0249999999999995,1164.4276123046875
2005-05-01,3.2,3.00258064516129,,1526.7672727272727,3.1666666666666665,4.9,12995.984666666667,12815.998,11352.7,3.666666666666666,1178.2757161458333
2005-06-01,3.2,3.0356666666666663,,1547.7077272727272,3.4333333333333336,5.2,13069.313333333334,12849.466,11375.5,3.3083333333333327,1202.2531682794745
2005-07-01,3.0,3.2625806451612904,,1541.7759090909092,3.7,5.2,13142.642,12868.735,11387.1,2.9499999999999997,1222.2369995117188
2005-08-01,3.1,3.4996774193548386,,1542.6295652173915,3.566666666666667,4.9,13203.162666666667,12891.416,11405.3,2.5916666666666663,1224.2699983016305
2005-09-01,4.3,3.6229999999999998,,1550.3427272727274,3.433333333333333,4.8,13263.683333333332,12850.144,11365.2,2.233333333333333,1225.914771670387
2005-10-01,4.6,3.7793548387096774,,1530.9304761904762,3.3,4.6,13324.204,12925.11,11428.7,1.8749999999999996,1191.9642857142858
2005-11-01,3.3,3.999,,1526.3931818181818,3.1666666666666665,4.8,13415.856,13010.071,11500.1,1.5166666666666662,1237.3685651506696
2005-12-01,3.1,4.1570967741935485,,1537.5,3.033333333333333,4.6,13507.508,13055.374,11535.2,1.1583333333333328,1262.0719110398065
2006-01-01,3.0,4.285161290322581,,1548.8257142857142,2.9,5.1,13599.16,13214.527,11651.8,0.8,1278.7224975585937
2006-02-01,3.0,4.491428571428572,,1543.517,3.1,5.1,13650.581333333334,13283.182,11702.8,1.125,1276.6452765213817
2006-03-01,3.0,4.589354838709677,,1538.3473913043476,3.3,4.8,13702.002666666667,13340.072,11747.5,1.4500000000000002,1293.7347783627717
2006-04-01,3.3,4.790333333333334,,1523.8885,3.5,4.5,13753.424,13347.045,11744.4,1.7750000000000001,1302.1652703536183
2006-05-01,4.0,4.940322580645161,,1523.1917391304348,3.2666666666666666,4.4,13792.345333333335,13336.874,11736.8,2.1,1290.0136274857955
